GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G08004","2018",,,"Colorado","08",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Colorado",836061,749846,13167,5711,20314,1339,16855,28829,6232,22597,"Congressional District 4 (116th Congress), Colorado",6128,7508,1990,1572,2609,1078,3372,3871,2216,2871
"G08005","2018",,,"Colorado","08",,,,,,,,,,,,,"05",,,,,"Congressional District 5 (116th Congress), Colorado",815466,661068,48818,6866,21569,2631,26409,48105,9089,39016,"Congressional District 5 (116th Congress), Colorado",1838,5510,3278,1919,1929,781,5006,5104,2988,4814
"G08006","2018",,,"Colorado","08",,,,,,,,,,,,,"06",,,,,"Congressional District 6 (116th Congress), Colorado",835273,614542,81416,7607,51858,1486,38133,40231,6740,33491,"Congressional District 6 (116th Congress), Colorado",8003,10693,4672,2571,3022,450,6051,4831,2195,4287
"G08007","2018",,,"Colorado","08",,,,,,,,,,,,,"07",,,,,"Congressional District 7 (116th Congress), Colorado",801315,696949,13627,6442,24425,451,25102,34319,4325,29994,"Congressional District 7 (116th Congress), Colorado",8198,10788,2297,1365,2789,478,4887,6989,1130,7130
"G09001","2018",,,"Connecticut","09",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Connecticut",715049,496973,111042,1420,38270,404,40166,26774,4447,22327,"Congressional District 1 (116th Congress), Connecticut",6485,9202,4672,1097,3100,662,4171,4890,1496,4566
"G09002","2018",,,"Connecticut","09",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Connecticut",699657,596505,29961,2344,24302,46,18801,27698,2839,24859,"Congressional District 2 (116th Congress), Connecticut",5425,6924,3215,982,1960,82,3476,3976,1253,3943
"G09003","2018",,,"Connecticut","09",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Connecticut",712272,514402,104950,1242,32902,64,37368,21344,5136,16208,"Congressional District 3 (116th Congress), Connecticut",7594,9988,6227,1083,2375,106,6161,3862,2043,3240
"G09004","2018",,,"Connecticut","09",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Connecticut",739090,526763,89713,1848,44292,327,52346,23801,4484,19317,"Congressional District 4 (116th Congress), Connecticut",5104,8769,4962,883,2268,340,7642,3870,1199,3556
"G09005","2018",,,"Connecticut","09",,,,,,,,,,,,,"05",,,,,"Congressional District 5 (116th Congress), Connecticut",706597,553493,55886,2653,26089,176,46527,21773,5193,16580,"Congressional District 5 (116th Congress), Connecticut",9254,11326,6666,1266,3353,161,7510,3433,1532,2763
"G10000","2018",,,"Delaware","10",,,,,,,,,,,,,"00",,,,,"Congressional District (at Large) (116th Congress), Delaware",967171,659781,217594,4397,39023,896,19652,25828,2602,23226,"Congressional District (at Large) (116th Congress), Delaware",0,4626,3408,1388,1595,665,4198,3640,1157,3257
